capacity,traffic,retry_attempt,retry_interval,cb,enforcement_point,start,end
33,1.0,1,5ms,5,3,1677998444490,1677998744498
33,1.0,1,5ms,10,3,1677998759749,1677999059757
33,1.0,1,5ms,20,3,1677999074990,1677999374997
33,1.0,1,5ms,50,3,1677999390231,1677999690237
33,1.0,1,5ms,500,3,1677999705486,1678000005494
33,1.0,1,5ms,1000,3,1678000020730,1678000320737
33,1.0,1,10ms,1,3,1678000336184,1678000636192
33,1.0,1,10ms,5,3,1678000651419,1678000951394
33,1.0,1,10ms,10,3,1678000966653,1678001266658
33,1.0,1,10ms,20,3,1678001281910,1678001581915
33,1.0,1,10ms,50,3,1678001597172,1678001897172
33,1.0,1,10ms,500,3,1678001912413,1678002212419
33,1.0,1,10ms,1000,3,1678002227658,1678002527664
33,1.0,1,50ms,1,3,1678002543099,1678002843105
33,1.0,1,50ms,5,3,1678002858345,1678003158363
33,1.0,1,50ms,10,3,1678003173606,1678003473613
33,1.0,1,50ms,20,3,1678003488846,1678003788853
33,1.0,1,50ms,50,3,1678003804101,1678004104107
33,1.0,1,50ms,500,3,1678004119367,1678004419371
33,1.0,1,50ms,1000,3,1678004434612,1678004734619
33,1.0,1,100ms,1,3,1678004750054,1678005050061
33,1.0,1,100ms,5,3,1678005065316,1678005365322
33,1.0,1,100ms,10,3,1678005380563,1678005680573
33,1.0,1,100ms,20,3,1678005695802,1678005995809
33,1.0,1,100ms,50,3,1678006011049,1678006311052
33,1.0,1,100ms,500,3,1678006326308,1678006626307
33,1.0,1,100ms,1000,3,1678006641534,1678006941560
33,1.0,2,1ms,1,3,1678006957022,1678007257029
33,1.0,2,1ms,5,3,1678007272282,1678007572291
33,1.0,2,1ms,10,3,1678007587537,1678007887541
33,1.0,2,1ms,20,3,1678007902795,1678008202765
33,1.0,2,1ms,50,3,1678008217988,1678008517994
33,1.0,2,1ms,500,3,1678008533231,1678008833236
33,1.0,2,1ms,1000,3,1678008848479,1678009148485
33,1.0,2,5ms,1,3,1678009163971,1678009463951
33,1.0,2,5ms,5,3,1678009479203,1678009779208
33,1.0,2,5ms,10,3,1678009794469,1678010094469
33,1.0,2,5ms,20,3,1678010109708,1678010409731
33,1.0,2,5ms,50,3,1678010424968,1678010724976
33,1.0,2,5ms,500,3,1678010740220,1678011040223
33,1.0,2,5ms,1000,3,1678011055485,1678011355484
33,1.0,2,10ms,1,3,1678011370936,1678011670921
33,1.0,2,10ms,5,3,1678011686173,1678011986178
33,1.0,2,10ms,10,3,1678012001417,1678012301422
33,1.0,2,10ms,20,3,1678012316648,1678012616647
33,1.0,2,10ms,50,3,1678012631884,1678012931913
33,1.0,2,10ms,500,3,1678012947170,1678013247171
33,1.0,2,10ms,1000,3,1678013262427,1678013562426
33,1.0,2,50ms,1,3,1678013577948,1678013877950
33,1.0,2,50ms,5,3,1678013893199,1678014193180
33,1.0,2,50ms,10,3,1678014208436,1678014508436
33,1.0,2,50ms,20,3,1678014523675,1678014823676
33,1.0,2,50ms,50,3,1678014838967,1678015138968
33,1.0,2,50ms,500,3,1678015154243,1678015454262
33,1.0,2,50ms,1000,3,1678015469545,1678015769545
33,1.0,2,100ms,1,3,1678015785037,1678016085039
33,1.0,2,100ms,5,3,1678016100335,1678016400337
33,1.0,2,100ms,10,3,1678016415606,1678016715631
33,1.0,2,100ms,20,3,1678016730885,1678017030888
33,1.0,2,100ms,50,3,1678017046147,1678017346151
33,1.0,2,100ms,500,3,1678017361384,1678017661365
33,1.0,2,100ms,1000,3,1678017676592,1678017976582
33,1.0,5,1ms,1,3,1678017992093,1678018292094
33,1.0,5,1ms,5,3,1678018307377,1678018607374
33,1.0,5,1ms,10,3,1678018622612,1678018922631
33,1.0,5,1ms,20,3,1678018937890,1678019237889
33,1.0,5,1ms,50,3,1678019253167,1678019553168
33,1.0,5,1ms,500,3,1678019568446,1678019868447
33,1.0,5,1ms,1000,3,1678019883699,1678020183658
33,1.0,5,5ms,1,3,1678020199183,1678020499182
33,1.0,5,5ms,5,3,1678020514456,1678020814450
33,1.0,5,5ms,10,3,1678020829738,1678021129734
33,1.0,5,5ms,20,3,1678021145006,1678021444985
33,1.0,5,5ms,50,3,1678021460248,1678021760249
33,1.0,5,5ms,500,3,1678021775520,1678022075523
33,1.0,5,5ms,1000,3,1678022090807,1678022390805
33,1.0,5,10ms,1,3,1678022406330,1678022706361
33,1.0,5,10ms,5,3,1678022721621,1678023021618
33,1.0,5,10ms,10,3,1678023036897,1678023336901
33,1.0,5,10ms,20,3,1678023352172,1678023652177
33,1.0,5,10ms,50,3,1678023667464,1678023967465
33,1.0,5,10ms,500,3,1678023982730,1678024282733
33,1.0,5,10ms,1000,3,1678024298003,1678024598003
33,1.0,5,50ms,1,3,1678024613566,1678024913578
33,1.0,5,50ms,5,3,1678024928841,1678025228845
33,1.0,5,50ms,10,3,1678025244116,1678025544118
33,1.0,5,50ms,20,3,1678025559396,1678025859395
33,1.0,5,50ms,50,3,1678025874668,1678026174626
33,1.0,5,50ms,500,3,1678026189912,1678026489915
33,1.0,5,50ms,1000,3,1678026505199,1678026805198
33,1.0,5,100ms,1,3,1678026820712,1678027120714
33,1.0,5,100ms,5,3,1678027135971,1678027435943
33,1.0,5,100ms,10,3,1678027451203,1678027751199
33,1.0,5,100ms,20,3,1678027766467,1678028066460
33,1.0,5,100ms,50,3,1678028081733,1678028381726
33,1.0,5,100ms,500,3,1678028396998,1678028697015
33,1.0,5,100ms,1000,3,1678028712288,1678029012284
33,1.0,10,1ms,1,3,1678029027785,1678029327779
33,1.0,10,1ms,5,3,1678029343056,1678029643052
33,1.0,10,1ms,10,3,1678029658330,1678029958311
33,1.0,10,1ms,20,3,1678029973579,1678030273575
33,1.0,10,1ms,50,3,1678030288846,1678030588843
33,1.0,10,1ms,500,3,1678030604105,1678030904098
33,1.0,10,1ms,1000,3,1678030919381,1678031219373
33,1.0,10,5ms,1,3,1678031234881,1678031534877
33,1.0,10,5ms,5,3,1678031550128,1678031850124
33,1.0,10,5ms,10,3,1678031865369,1678032165392
33,1.0,10,5ms,20,3,1678032180663,1678032480659
33,1.0,10,5ms,50,3,1678032495947,1678032795945
33,1.0,10,5ms,500,3,1678032811202,1678033111197
33,1.0,10,5ms,1000,3,1678033126649,1678033426666
33,1.0,10,10ms,1,3,1678033442464,1678033742464
33,1.0,10,10ms,5,3,1678033757723,1678034057718
33,1.0,10,10ms,10,3,1678034072981,1678034372978
33,1.0,10,10ms,20,3,1678034388282,1678034688261
33,1.0,10,10ms,50,3,1678034703543,1678035003542
33,1.0,10,10ms,500,3,1678035019042,1678035319040
33,1.0,10,10ms,1000,3,1678035334490,1678035634493
33,1.0,10,50ms,1,3,1678035650314,1678035950320
33,1.0,10,50ms,5,3,1678035965716,1678036265715
33,1.0,10,50ms,10,3,1678036280972,1678036580975
33,1.0,10,50ms,20,3,1678036596252,1678036896247
33,1.0,10,50ms,50,3,1678036911550,1678037211582
33,1.0,10,50ms,500,3,1678037226836,1678037526837
33,1.0,10,50ms,1000,3,1678037542099,1678037842097
33,1.0,10,100ms,1,3,1678037857608,1678038157609
33,1.0,10,100ms,5,3,1678038172867,1678038472859
33,1.0,10,100ms,10,3,1678038488122,1678038788121
33,1.0,10,100ms,20,3,1678038803389,1678039103390
33,1.0,10,100ms,50,3,1678039118659,1678039418695
33,1.0,10,100ms,500,3,1678039433969,1678039733973
33,1.0,10,100ms,1000,3,1678039749241,1678040049240
33,1.0,20,1ms,1,3,1678040064689,1678040364692
33,1.0,20,1ms,5,3,1678040379951,1678040679921
33,1.0,20,1ms,10,3,1678040695193,1678040995190
33,1.0,20,1ms,20,3,1678041010452,1678041310453
33,1.0,20,1ms,50,3,1678041325717,1678041625718
33,1.0,20,1ms,500,3,1678041640967,1678041940946
33,1.0,20,1ms,1000,3,1678041956202,1678042256202
33,1.0,20,5ms,1,3,1678042271667,1678042571666
33,1.0,20,5ms,5,3,1678042586944,1678042886943
33,1.0,20,5ms,10,3,1678042902196,1678043202177
33,1.0,20,5ms,20,3,1678043217435,1678043517433
33,1.0,20,5ms,50,3,1678043532679,1678043832678
33,1.0,20,5ms,500,3,1678043847929,1678044147927
33,1.0,20,5ms,1000,3,1678044163206,1678044463197
33,1.0,20,10ms,1,3,1678044478701,1678044778696
33,1.0,20,10ms,5,3,1678044793960,1678045093953
33,1.0,20,10ms,10,3,1678045109224,1678045409222
33,1.0,20,10ms,20,3,1678045424494,1678045724491
33,1.0,20,10ms,50,3,1678045739754,1678046039749
33,1.0,20,10ms,500,3,1678046055021,1678046355016
33,1.0,20,10ms,1000,3,1678046370455,1678046670458
33,1.0,20,50ms,1,3,1678046686275,1678046986275
33,1.0,20,50ms,5,3,1678047001549,1678047301553
33,1.0,20,50ms,10,3,1678047316844,1678047616847
33,1.0,20,50ms,20,3,1678047632119,1678047932119
33,1.0,20,50ms,50,3,1678047947395,1678048247390
33,1.0,20,50ms,500,3,1678048262663,1678048562666
33,1.0,20,50ms,1000,3,1678048577920,1678048877916
33,1.0,20,100ms,1,3,1678048893440,1678049193491
33,1.0,20,100ms,5,3,1678049208765,1678049508765
33,1.0,20,100ms,10,3,1678049524035,1678049824038
33,1.0,20,100ms,20,3,1678049839317,1678050139323
33,1.0,20,100ms,50,3,1678050154603,1678050454608
33,1.0,20,100ms,500,3,1678050469878,1678050769875
