traffic,cb_v1,cv_v2,cv_v3,retry,interval,start,end
40,1000,1,1,5,1ms,1678514196069,1678514256074
40,1000,1,1,5,25ms,1678514256330,1678514316330
40,1000,1,1,5,50ms,1678514316595,1678514376597
40,1000,1,50,1,1ms,1678514377090,1678514437094
40,1000,1,50,1,25ms,1678514437352,1678514497357
40,1000,1,50,1,50ms,1678514497626,1678514557631
40,1000,1,50,2,1ms,1678514557884,1678514617892
40,1000,1,50,2,25ms,1678514618151,1678514678159
40,1000,1,50,2,50ms,1678514678410,1678514738417
40,1000,1,50,5,1ms,1678514738674,1678514798672
40,1000,1,50,5,25ms,1678514798929,1678514858930
40,1000,1,50,5,50ms,1678514859192,1678514919201
40,1000,1,1000,1,1ms,1678514919706,1678514979711
40,1000,1,1000,1,25ms,1678514979963,1678515039968
40,1000,1,1000,1,50ms,1678515040227,1678515100234
40,1000,1,1000,2,1ms,1678515100491,1678515160500
40,1000,1,1000,2,25ms,1678515160767,1678515220775
40,1000,1,1000,2,50ms,1678515221037,1678515281041
40,1000,1,1000,5,1ms,1678515281309,1678515341313
40,1000,1,1000,5,25ms,1678515341567,1678515401565
40,1000,1,1000,5,50ms,1678515401824,1678515461846
40,1000,50,1,1,1ms,1678515462591,1678515522603
40,1000,50,1,1,25ms,1678515522867,1678515582870
40,1000,50,1,1,50ms,1678515583129,1678515643131
40,1000,50,1,2,1ms,1678515643382,1678515703389
40,1000,50,1,2,25ms,1678515703635,1678515763642
40,1000,50,1,2,50ms,1678515763865,1678515823869
40,1000,50,1,5,1ms,1678515824116,1678515884122
40,1000,50,1,5,25ms,1678515884389,1678515944392
40,1000,50,1,5,50ms,1678515944667,1678516004671
40,1000,50,50,1,1ms,1678516005198,1678516065204
40,1000,50,50,1,25ms,1678516065450,1678516125459
40,1000,50,50,1,50ms,1678516125713,1678516185717
40,1000,50,50,2,1ms,1678516185962,1678516245970
40,1000,50,50,2,25ms,1678516246225,1678516306234
40,1000,50,50,2,50ms,1678516306494,1678516366503
40,1000,50,50,5,1ms,1678516366769,1678516426771
40,1000,50,50,5,25ms,1678516427043,1678516487051
40,1000,50,50,5,50ms,1678516487314,1678516547316
40,1000,50,1000,1,1ms,1678516547808,1678516607813
40,1000,50,1000,1,25ms,1678516608070,1678516668082
40,1000,50,1000,1,50ms,1678516668333,1678516728352
40,1000,50,1000,2,1ms,1678516728619,1678516788619
40,1000,50,1000,2,25ms,1678516788867,1678516848873
40,1000,50,1000,2,50ms,1678516849140,1678516909148
40,1000,50,1000,5,1ms,1678516909412,1678516969421
40,1000,50,1000,5,25ms,1678516969666,1678517029669
40,1000,50,1000,5,50ms,1678517029929,1678517089935
40,1000,1000,1,1,1ms,1678517090654,1678517150658
40,1000,1000,1,1,25ms,1678517150909,1678517210919
40,1000,1000,1,1,50ms,1678517211183,1678517271192
40,1000,1000,1,2,1ms,1678517271454,1678517331454
40,1000,1000,1,2,25ms,1678517331729,1678517391736
40,1000,1000,1,2,50ms,1678517392006,1678517452009
40,1000,1000,1,5,1ms,1678517452264,1678517512266
40,1000,1000,1,5,25ms,1678517512524,1678517572527
40,1000,1000,1,5,50ms,1678517572777,1678517632777
40,1000,1000,50,1,1ms,1678517633256,1678517693260
40,1000,1000,50,1,25ms,1678517693525,1678517753532
40,1000,1000,50,1,50ms,1678517753793,1678517813802
40,1000,1000,50,2,1ms,1678517814067,1678517874062
40,1000,1000,50,2,25ms,1678517874338,1678517934335
40,1000,1000,50,2,50ms,1678517934587,1678517994595
40,1000,1000,50,5,1ms,1678517994864,1678518054873
40,1000,1000,50,5,25ms,1678518055127,1678518115135
40,1000,1000,50,5,50ms,1678518115399,1678518175403
40,1000,1000,1000,1,1ms,1678518175898,1678518235900
40,1000,1000,1000,1,25ms,1678518236161,1678518296169
40,1000,1000,1000,1,50ms,1678518296438,1678518356445
40,1000,1000,1000,2,1ms,1678518356721,1678518416725
40,1000,1000,1000,2,25ms,1678518416979,1678518476978
40,1000,1000,1000,2,50ms,1678518477250,1678518537258
40,1000,1000,1000,5,1ms,1678518537508,1678518597511
40,1000,1000,1000,5,25ms,1678518597776,1678518657784
40,1000,1000,1000,5,50ms,1678518658039,1678518718048
70,1,1,1,1,1ms,1678518719277,1678518779286
70,1,1,1,1,25ms,1678518779551,1678518839554
70,1,1,1,1,50ms,1678518839810,1678518899818
70,1,1,1,2,1ms,1678518900066,1678518960074
