i,traffic,retry_attempt,retry_interval,cb,pc_succ_req,pc_fail_req,pc_cb_req,pc_c_rt,f_succ_req,f_fail_req,f_cb_req,f_c_rt
168,1.0,1,25,100,186.8,6.6,0.0,67.84722222222217,29.8,6.800000000000001,0,157.95454545454533
169,1.0,1,25,100,178.0,5.0,0.0,34.18750000000011,27.8,7.0,0,98.49999999999997
170,1.0,1,25,100,193.0,5.4,0.0,36.40624999999996,28.2,5.0,0,93.08510638297872
171,1.0,1,25,100,190.6,6.8,0.0,49.602272727272606,29.6,7.3999999999999995,0,122.49999999999979
172,1.0,1,25,100,184.2,2.4000000000000004,0.0,50.32608695652144,30.0,2.4,0,93.59756097560975
173,1.0,1,25,100,169.951,6.795999999999999,0.0,23.874191866527507,26.6,6.8,0,97.49999999999997
174,1.0,1,25,100,203.856,3.801,0.0,38.24571183533425,32.4,2.6,0,96.48809523809524
175,1.0,10,25,100,70.0,8.4,0.0,1909.0000000000011,8.4,9.6,0,4249.999999999999
176,1.0,10,25,100,94.2,7.800000000000001,0.0,1945.258620689655,12.6,6.8,0,4104.166666666667
177,1.0,10,25,100,56.2,12.0,0.0,1746.9387755102014,4.4,13.0,0,3874.999999999999
178,1.0,10,25,100,75.8,8.2,0.0,2169.17808219178,11.8,6.2,0,4374.999999999999
179,1.0,10,25,100,63.4,8.4,0.0,1782.6086956521744,5.6,12.6,0,4413.461538461537
180,1.0,10,25,100,0.0,11.2,0.0,2182.954545454545,0.0,11.4,0,4687.5
181,1.0,10,25,100,0.0,11.4,0.0,2279.166666666666,0.0,10.6,0,
182,1.0,10,25,100,0.0,10.0,0.0,2304.9999999999995,0.0,10.4,0,
183,1.0,10,25,100,0.0,10.0,0.0,2347.0,0.0,10.799999999999999,0,
184,1.0,10,25,100,0.0,11.2,0.0,2328.125,0.0,10.0,0,
185,1.0,10,25,100,0.0,10.4,0.0,2294.7368421052624,0.0,11.2,0,
186,1.0,10,25,100,0.0,11.2,0.0,2282.894736842105,0.0,10.6,0,
187,1.0,10,25,100,0.0,10.2,0.0,2275.0,0.0,10.399999999999999,0,
188,1.0,10,25,100,0.0,10.6,0.0,2319.3181818181815,0.0,10.2,0,
189,1.0,10,25,100,0.0,10.0,0.0,2332.954545454545,0.0,10.200000000000001,0,
190,1.0,10,25,100,0.0,10.6,0.0,2301.2499999999995,0.0,10.6,0,
191,1.0,10,25,100,0.0,10.6,0.0,2301.2499999999995,0.0,11.2,0,
192,1.0,10,25,100,0.0,11.2,0.0,2220.0,0.0,10.4,0,
193,1.0,10,25,100,0.0,10.0,0.0,2301.2499999999995,0.0,9.799999999999999,0,
194,1.0,10,25,100,0.0,10.0,0.0,2343.478260869565,0.0,10.8,0,
195,1.0,10,25,100,0.0,11.0,0.0,2270.833333333333,0.0,10.799999999999999,0,
196,1.0,10,25,100,0.0,10.8,0.0,2301.2499999999995,0.0,90.39999999999999,0,
197,1.0,10,25,100,0.0,1.8,0.0,2325.0,0.0,287.4,0,
198,1.0,10,25,100,0.0,0.0,0.0,,0.0,323.4,0,
199,1.0,10,25,100,0.0,0.0,0.0,,0.0,60.6,0,
200,1.0,5,25,100,0.0,30.4,0.0,489.9784482758621,2.4,31.0,0,2275.0
201,1.0,5,25,100,0.0,32.6,0.0,497.64150943396226,1.2,31.4,0,2425.0
202,1.0,5,25,100,0.0,31.6,0.0,497.91666666666663,2.2,31.0,0,2371.4285714285716
203,1.0,5,25,100,0.0,30.6,0.0,561.1111111111107,1.4,32.2,0,2237.5
204,1.0,5,25,100,0.0,30.4,0.0,498.78640776699024,0.6,30.400000000000002,0,2275.0
205,1.0,5,25,100,0.0,30.6,0.0,518.7499999999995,1.4,30.400000000000002,0,2237.5
206,1.0,5,25,100,29.8,15.2,0.0,764.4736842105267,2.0,30.0,0,2312.5
207,1.0,5,25,100,60.2,34.8,0.0,824.3421052631579,3.8,37.0,0,2375.0
208,1.0,5,25,100,74.8,32.4,0.0,870.6521739130434,1.8,35.2,0,2360.7142857142853
209,1.0,5,25,100,57.0,40.8,0.0,837.3456790123453,2.2,38.8,0,2275.0
210,1.0,5,25,100,65.6,29.0,0.0,871.6145833333333,4.4,32.2,0,2320.0
211,1.0,5,25,100,68.0,36.0,0.0,848.8235294117646,0.0,35.6,0,
212,1.0,5,25,100,37.0,36.2,0.0,859.5238095238094,0.0,35.599999999999994,0,
213,1.0,5,25,100,48.8,31.6,0.0,878.4090909090908,0.0,33.4,0,
214,1.0,5,25,100,58.0,29.4,0.0,863.4146341463413,0.0,35.2,0,
215,1.0,5,25,100,72.6,35.400000000000006,0.0,846.3333333333333,0.0,32.4,0,
216,1.0,5,25,100,69.6,26.4,0.0,852.6881720430108,0.0,34.0,0,
217,1.0,5,25,100,66.6,37.8,0.0,846.0714285714284,0.0,31.599999999999998,0,0.0
218,1.0,5,25,100,38.0,46.0,0.0,852.5,0.0,27.599999999999998,0,0.0
219,1.0,5,25,100,0.0,30.4,0.0,791.477272727273,0.0,29.6,0,0.0
220,1.0,5,25,100,0.0,30.6,0.0,652.2727272727275,0.0,30.4,0,0.0
221,1.0,5,25,100,0.0,31.8,0.0,512.4999999999986,0.0,31.2,0,0.0
222,1.0,5,25,100,0.0,32.2,0.0,491.150442477876,0.0,32.2,0,0.0
223,1.0,5,25,100,0.0,30.4,0.0,498.0504587155963,0.0,31.0,0,0.0
224,1.0,5,25,100,0.0,30.8,0.0,518.7499999999995,0.0,30.4,0,0.0
225,1.0,none,25,1,0.0,22.6,7.0,89.62121212121211,19.8,33.2,0,70.83333333333333
226,1.0,none,25,1,0.0,20.8,7.6,90.46052631578945,23.2,31.0,0,97.14285714285714
227,1.0,none,25,1,0.0,24.0,7.4,91.38888888888889,22.4,35.4,0,74.58333333333327
228,1.0,none,25,1,0.0,21.6,6.0,92.39795918367346,20.6,28.799999999999997,0,89.99999999999999
229,1.0,none,25,1,0.0,21.2,7.2,90.07142857142856,19.4,32.8,0,80.96153846153844
230,1.0,none,25,1,0.0,24.0,7.4,88.85714285714283,21.6,32.0,0,96.45833333333323
231,1.0,none,25,1,0.0,21.4,7.4,88.93939393939394,19.4,30.799999999999997,0,86.375
232,1.0,none,25,1,0.0,23.0,5.6,89.99999999999999,20.2,32.199999999999996,0,97.30769230769229
233,1.0,none,25,1,0.0,23.2,8.2,90.55555555555556,20.6,35.800000000000004,0,76.13636363636361
234,1.0,none,25,1,0.0,24.8,7.6,91.02941176470588,20.6,35.4,0,82.08333333333334
235,1.0,none,25,1,0.0,23.6,9.6,90.2439024390244,19.0,37.2,0,63.571428571428555
236,1.0,none,25,1,0.0,26.0,6.8,91.24999999999999,22.2,34.599999999999994,0,81.73076923076925
237,1.0,none,25,1,104.8,11.0,7.0,88.03571428571425,0.0,18.2,0,0.0
238,1.0,none,25,1,141.2,0.6,6.2,6.967105263157883,0.0,13.0,0,0.0
239,1.0,none,25,1,154.8,0.2,7.8,7.606060606060628,0.0,13.0,0,0.0
240,1.0,none,25,1,148.0,1.6,6.4,7.083333333333336,0.0,15.4,0,0.0
241,1.0,none,25,1,141.0,0.0,7.0,9.314516129032265,0.0,10.799999999999999,0,0.0
242,1.0,none,25,1,135.0,1.4,8.4,6.335937499999983,0.0,17.4,0,0.0
243,1.0,none,25,1,145.0,0.2,4.4,9.491666666666656,0.0,11.799999999999999,0,0.0
244,1.0,none,25,1,136.6,1.6,6.2,7.469512195121944,0.0,16.4,0,0.0
245,1.0,none,25,1,138.4,0.2,4.4,9.374999999999998,0.0,10.0,0,0.0
246,1.0,none,25,1,127.8,1.0,3.4,6.919117647058824,0.0,8.6,0,0.0
247,1.0,none,25,1,140.8,0.0,5.2,6.892857142857118,0.0,11.2,0,0.0
248,1.0,none,25,1,134.2,1.0,4.8,6.159722222222196,0.0,12.200000000000001,0,0.0
249,1.0,none,25,1,149.8,0.0,5.6,8.547297297297309,0.0,11.4,0,0.0
250,1.0,none,25,50,201.4,0.0,0.0,52.05555555555542,34.0,0.0,0,184.8684210526315
251,1.0,none,25,50,219.8,0.0,0.0,9.68333333333332,37.2,0.0,0,549.999999999999
252,1.0,none,25,50,186.6,0.0,0.0,72.91095890410953,31.2,0.0,0,98.7121212121212
253,1.0,none,25,50,214.4,0.0,0.0,8.931372549019606,35.2,0.0,0,251.3888888888886
254,1.0,none,25,50,218.0,0.0,0.0,65.68181818181813,35.8,0.0,0,209.090909090909
255,1.0,none,25,50,195.0,0.0,0.0,29.583333333333243,32.6,0.0,0,310.22727272727246
256,1.0,none,25,50,185.8,0.0,0.0,67.96153846153834,31.2,0.0,0,96.14285714285712
257,1.0,none,25,50,193.0,0.0,0.0,8.677777777777765,32.8,0.0,0,281.94444444444406
258,1.0,none,25,50,202.0,0.0,0.0,57.272727272727245,33.8,0.0,0,132.72727272727258
259,1.0,none,25,50,198.2,0.0,0.0,9.69615384615384,32.2,0.0,0,358.92857142857133
260,1.0,none,25,50,217.4,0.0,0.0,70.86363636363625,36.8,0.0,0,232.36486486486476
261,1.0,none,25,50,181.8,0.0,0.0,31.458333333333254,30.0,0.0,0,234.99999999999997
262,1.0,none,25,50,201.2,0.0,0.0,53.26530612244891,33.2,0.0,0,121.00000000000009
263,1.0,none,25,50,207.6,0.0,0.0,9.242268041237121,35.6,0.0,0,431.73076923076917
264,1.0,none,25,50,204.0,0.0,0.0,73.83928571428575,32.4,0.0,0,191.36363636363637
265,1.0,none,25,50,201.4,0.0,0.0,9.883561643835625,34.4,0.0,0,301.56249999999966
266,1.0,none,25,50,196.4,0.0,0.0,56.42156862745112,32.4,0.0,0,94.51612903225805
267,1.0,none,25,50,194.4,0.0,0.0,6.5810810810810825,33.0,0.0,0,346.1538461538461
268,1.0,none,25,50,195.2,0.0,0.0,68.76582278481013,32.2,0.0,0,85.53571428571428
269,1.0,none,25,50,205.0,0.0,0.0,5.164062500000007,34.0,0.0,0,274.9999999999995
270,1.0,none,25,50,168.0,0.0,0.0,53.96226415094341,27.6,0.0,0,177.81249999999986
271,1.0,none,25,50,189.6,0.0,0.0,7.374999999999998,32.0,0.0,0,393.26923076923055
272,1.0,none,25,50,217.4,0.0,0.0,70.16666666666664,36.2,0.0,0,159.4999999999999
273,1.0,none,25,50,200.2,0.0,0.0,8.005813953488367,34.2,0.0,0,327.0833333333335
274,1.0,none,25,50,202.4,0.0,0.0,58.11475409836072,34.0,0.0,0,91.0106382978723
275,1.0,none,25,100,201.2,0.0,0.0,9.722972972972975,33.2,0.0,0,228.9999999999997
276,1.0,none,25,100,202.2,0.0,0.0,33.51562500000006,33.8,0.0,0,139.99999999999994
