traffic,retry_attempt,retry_interval,cb,pc_succ_req,pc_fail_req,pc_cb_req,pc_c_rt,f_succ_req,f_fail_req,f_cb_req,f_c_rt
19,1,0.001,10,90.6,10.8,0.0,0.02924999999999997,8.2,11.4,0,0.09548076923076923
19,1,0.001,10,81.6,13.2,0.0,0.03139705882352944,11.8,11.0,0,0.09613636363636363
19,1,0.001,10,65.8,10.8,0.0,0.03154166666666664,8.4,13.0,0,0.09654761904761906
19,1,0.001,10,62.8,8.4,0.0,0.0248125,8.4,9.6,0,0.09403846153846152
19,1,0.001,10,88.0,5.8,0.0,0.027499999999999934,9.8,7.0,0,0.099125
19,1,0.001,10,69.0,8.4,0.0,0.02475249999999999,12.6,7.2,0,0.09439655172413794
19,1,0.001,10,83.4,8.0,0.0,0.027663043478260846,10.2,8.4,0,0.09434782608695651
19,1,0.001,10,67.6,11.4,0.0,0.024864285714285714,9.0,8.8,0,0.0946875
19,1,0.001,20,82.6,9.0,0.0,0.03269531250000003,10.6,12.0,0,0.0946590909090909
19,1,0.001,20,71.4,9.8,0.0,0.024466666666666668,12.0,7.6,0,0.09641666666666665
19,1,0.001,20,76.2,12.0,0.0,0.03177083333333337,7.4,11.4,0,0.09985294117647057
19,1,0.001,20,69.6,8.2,0.0,0.030431034482758582,11.4,8.4,0,0.09480769230769229
19,1,0.001,20,81.6,9.6,0.0,0.031939655172413796,10.0,10.2,0,0.09659090909090907
19,1,0.001,20,69.6,12.0,0.0,0.03191406249999994,10.0,11.200000000000001,0,0.0953448275862069
19,1,0.001,20,67.0,10.6,0.0,0.02581249999999997,7.6,12.8,0,0.09333333333333332
19,1,0.001,20,65.2,10.2,0.0,0.02431249999999998,7.2,7.8,0,0.09291666666666668
19,1,0.001,20,65.0,7.2,0.0,0.03429166666666663,8.4,11.200000000000001,0,0.13999999999999993
19,1,0.001,20,80.0,10.600000000000001,0.0,0.028149999999999918,11.4,7.4,0,0.09508928571428571
19,1,0.001,20,69.0,9.2,0.0,0.034335937499999955,9.4,8.6,0,0.09695652173913043
19,1,0.001,20,60.8,11.0,0.0,0.03520161290322581,7.0,10.8,0,0.09511904761904762
19,1,0.001,20,68.2,10.399999999999999,0.0,0.032974137931034465,8.4,11.0,0,0.09326923076923076
19,1,0.001,20,54.6,7.8,0.0,0.031538461538461536,8.0,10.4,0,0.09691176470588235
19,1,0.001,20,81.2,11.6,0.0,0.02485365853658537,7.8,9.2,0,0.09529411764705881
19,1,0.001,20,71.4,12.0,0.0,0.030560344827586128,10.6,10.0,0,0.09526315789473683
19,1,0.001,20,74.0,7.3999999999999995,0.0,0.024918181818181815,8.2,11.6,0,0.14499999999999988
19,1,0.001,20,67.4,13.6,0.0,0.03215517241379309,8.0,9.8,0,0.09554347826086956
19,1,0.001,20,80.0,10.4,0.0,0.03330645161290319,8.6,12.4,0,0.09761904761904762
19,1,0.001,20,52.2,10.4,0.0,0.028299999999999922,8.6,10.2,0,0.09394736842105261
19,1,0.001,20,73.6,8.8,0.0,0.034350000000000006,6.0,11.0,0,0.09868421052631578
19,1,0.001,20,70.6,13.8,0.0,0.030096153846153963,8.8,9.799999999999999,0,0.0925
19,1,0.001,20,88.0,11.8,0.0,0.03128906249999995,10.8,13.4,0,0.09676470588235295
19,1,0.001,20,72.0,8.4,0.0,0.024640306122448982,11.2,9.6,0,0.09442307692307692
19,1,0.001,20,82.8,6.6,0.0,0.03156249999999994,10.0,7.800000000000001,0,0.1487499999999999
19,1,0.001,50,73.4,10.600000000000001,0.0,0.03013392857142859,9.8,10.8,0,0.09413043478260869
19,1,0.001,50,79.2,9.8,0.0,0.03325892857142856,8.8,8.8,0,0.09958333333333334
19,1,0.001,50,68.0,9.6,0.0,0.03289285714285709,10.4,11.4,0,0.09649999999999999
19,1,0.001,50,95.0,13.8,0.0,0.032983870967741906,8.2,13.0,0,0.094
19,1,0.001,50,70.2,9.2,0.0,0.028749999999999908,11.2,9.8,0,0.09446428571428571
19,1,0.001,50,82.6,10.4,0.0,0.03318548387096778,9.4,11.4,0,0.09312499999999997
19,1,0.001,50,73.0,11.8,0.0,0.02538043478260866,10.4,9.0,0,0.09479166666666668
19,1,0.001,50,80.8,10.6,0.0,0.02614130434782613,8.6,12.399999999999999,0,0.09421052631578945
19,1,0.001,50,60.8,10.600000000000001,0.0,0.024209459459459445,9.6,7.8,0,0.09089285714285714
19,1,0.001,50,86.2,11.6,0.0,0.03560810810810808,8.6,12.8,0,0.097625
19,1,0.001,50,74.2,10.0,0.0,0.024656779661016932,9.4,12.6,0,0.095
19,1,0.001,50,73.2,9.2,0.0,0.03236111111111107,9.6,7.6,0,0.13249999999999978
19,1,0.001,50,65.8,7.800000000000001,0.0,0.03005208333333327,9.0,7.2,0,0.0946875
19,1,0.001,50,73.0,8.4,0.0,0.034257812500000005,9.0,11.0,0,0.09780000000000001
19,1,0.001,50,73.6,11.600000000000001,0.0,0.0319166666666667,11.0,7.6,0,0.09342105263157896
19,1,0.001,50,63.8,8.4,0.0,0.029147727272727224,6.4,11.6,0,0.09545454545454544
